38,7165;50;20,118426
38,743;50;20,067399
38,7695;50;20,169453
38,796;50;20,169453
38,8225;50;20,118426
38,849;50;20,322535
38,8755;50;20,424589
38,902;50;20,628698
38,9285;50;21,343079
38,955;50;21,343079
38,9815;50;22,414651
39,008;50;22,771842
39,0345;50;23,53725
39,061;50;23,690331
39,0875;50;24,710876
39,114;50;24,81293
39,1405;50;25,425257
39,167;50;25,884502
39,1935;50;26,241692
39,22;50;26,64991
39,2465;50;26,854019
39,273;50;27,772509
39,2995;50;27,262237
39,326;50;27,5684
39,3525;50;28,1297
39,379;50;28,231754
39,4055;50;28,844081
39,432;50;28,793053
39,4585;50;29,252298
39,485;50;29,456407
39,5115;50;29,96668
39,538;50;29,96668
39,5645;50;30,579006
39,591;50;30,527979
39,6175;50;30,936197
39,644;50;30,936197
39,6705;50;31,497496
39,697;50;31,446469
39,7235;50;31,140306
39,75;50;31,956741
39,7765;50;31,803659
39,803;50;32,211877
39,8295;50;32,518041
39,856;50;33,130367
39,8825;50;33,130367
39,909;50;33,43653
39,9355;50;33,946803
39,962;50;34,150912
39,9885;50;34,252966
40,015;50;34,457075
40,0415;50;34,91632
40,068;50;34,763238
40,0945;50;35,171456
40,121;50;34,610157
40,1475;50;35,171456
40,174;50;34,814265
40,2005;50;35,477619
40,227;50;35,171456
40,2535;50;35,681728
40,28;50;35,27351
40,3065;50;36,396109
40,333;50;36,038919
40,3595;50;36,038919
40,386;50;36,192
40,4125;50;36,447136
40,439;50;36,140973
40,4655;50;36,855354
40,492;50;36,498164
40,5185;50;36,7533
40,545;50;37,008436
40,5715;50;37,365626
40,598;50;37,569735
40,6245;50;37,620763
40,651;50;37,977953
40,6775;50;38,284116
40,704;50;38,233089
40,7305;50;38,182062
40,757;50;38,233089
40,7835;50;38,02898
40,81;50;38,335144
40,8365;50;38,080008
40,863;50;38,488225
40,8895;50;38,539252
40,916;50;38,386171
40,9425;50;38,437198
40,969;50;38,59028
40,9955;50;38,437198
41,022;50;38,641307
41,0485;50;38,641307
41,075;50;38,692334
41,1015;50;38,845416
41,128;50;38,488225
41,1545;50;39,049525
41,181;50;38,539252
41,2075;50;38,794389
41,234;50;38,845416
41,2605;50;39,100552
41,287;50;39,049525
41,3135;50;39,559797
41,34;50;39,559797
41,3665;50;39,763906
41,393;50;40,070069
41,4195;50;40,580341
41,446;50;40,274178
41,4725;50;40,376232
41,499;50;40,580341
41,5255;50;40,478287
41,552;50;40,78445
41,5785;50;40,223151
41,605;50;40,835477
41,6315;50;40,529314
41,658;50;40,733423
41,6845;50;40,42726
41,711;50;40,682396
41,7375;50;39,916987
41,764;50;40,682396
41,7905;50;40,42726
41,817;50;40,886505
41,8435;50;40,274178
41,87;50;40,733423
41,8965;50;40,631369
41,923;50;41,039586
41,9495;50;40,937532
41,976;50;40,478287
42,0025;50;40,78445
42,029;50;40,733423
42,0555;50;40,580341
42,082;50;40,937532
42,1085;50;40,937532
42,135;50;41,447804
42,1615;50;41,34575
42,188;50;41,856022
42,2145;50;41,498831
42,241;50;41,600886
42,2675;50;41,243695
42,294;50;41,907049
42,3205;50;41,243695
42,347;50;41,753967
42,3735;50;41,294722
42,4;50;41,498831
42,4265;50;41,192668
42,453;50;41,396777
42,4795;50;41,192668
42,506;50;41,090613
42,5325;50;41,141641
42,559;50;41,090613
42,5855;50;41,396777
42,612;50;41,243695
42,6385;50;41,039586
42,665;50;40,886505
42,6915;50;41,090613
42,718;50;42,009103
42,7445;50;41,498831
42,771;50;41,70294
42,7975;50;41,856022
42,824;50;41,651913
42,8505;50;41,856022
42,877;50;41,651913
42,9035;50;42,111158
42,93;50;41,70294
42,9565;50;41,958076
42,983;50;42,315267
43,0095;50;42,009103
43,036;50;42,009103
43,0625;50;42,26424
43,089;50;42,111158
43,1155;50;42,162185
43,142;50;42,111158
43,1685;50;42,009103
43,195;50;42,162185
43,2215;50;42,417321
43,248;50;42,060131
43,2745;50;42,366294
43,301;50;42,468348
43,3275;50;42,162185
43,354;50;42,62143
43,3805;50;42,468348
43,407;50;42,468348
43,4335;50;42,570403
43,46;50;42,111158
43,4865;50;42,213212
43,513;50;41,856022
43,5395;50;42,009103
43,566;50;41,907049
43,5925;50;42,111158
43,619;50;42,213212
43,6455;50;42,417321
43,672;50;42,468348
43,6985;50;42,315267
43,725;50;42,468348
43,7515;50;42,417321
43,778;50;42,723485
43,8045;50;42,366294
43,831;50;42,62143
43,8575;50;42,162185
43,884;50;42,62143
43,9105;50;42,468348
43,937;50;42,62143
