Time,H1,T1
0,0.0,20.949499999999997
1,0.0,20.949499999999997
2,0.0,20.949499999999997
3,0.0,20.949499999999997
4,0.0,20.949499999999997
5,0.0,20.949499999999997
6,0.0,20.6272
7,0.0,20.949499999999997
8,0.0,20.949499999999997
9,0.0,20.949499999999997
10,80.0,20.949499999999997
11,80.0,21.594099999999997
12,80.0,22.561
13,80.0,23.5279
14,80.0,24.494799999999998
15,80.0,25.784
16,80.0,27.073199999999996
17,80.0,28.362399999999997
18,80.0,29.6516
19,80.0,30.940799999999996
20,80.0,32.23
21,80.0,33.1969
22,80.0,34.4861
23,80.0,35.452999999999996
24,80.0,36.7422
25,80.0,37.7091
26,80.0,38.9983
27,80.0,39.965199999999996
28,80.0,41.2544
29,80.0,41.898999999999994
30,80.0,42.865899999999996
31,80.0,43.8328
32,80.0,44.799699999999994
33,80.0,45.4443
34,80.0,46.411199999999994
35,80.0,47.0558
36,80.0,48.02269999999999
37,80.0,48.6673
38,80.0,49.311899999999994
39,80.0,49.9565
40,80.0,50.601099999999995
41,80.0,51.2457
42,80.0,51.890299999999996
43,80.0,52.53489999999999
44,80.0,53.1795
45,80.0,53.501799999999996
46,80.0,54.14639999999999
47,80.0,54.791
48,80.0,55.113299999999995
49,80.0,55.75789999999999
50,80.0,56.0802
51,80.0,56.724799999999995
52,80.0,57.04709999999999
53,80.0,57.3694
54,80.0,57.6917
55,80.0,58.336299999999994
56,80.0,58.65859999999999
57,80.0,58.9809
58,80.0,59.3032
59,80.0,59.625499999999995
60,80.0,59.947799999999994
61,80.0,60.27009999999999
62,80.0,60.5924
63,80.0,60.914699999999996
64,80.0,60.914699999999996
65,80.0,61.55929999999999
66,80.0,61.55929999999999
67,80.0,61.88159999999999
68,80.0,62.2039
69,80.0,62.526199999999996
70,80.0,62.526199999999996
71,80.0,62.848499999999994
72,80.0,62.848499999999994
73,80.0,63.17079999999999
74,80.0,63.4931
75,80.0,63.4931
76,80.0,63.8154
77,80.0,64.1377
78,80.0,64.1377
79,80.0,64.46
80,80.0,64.46
81,80.0,64.78229999999999
82,80.0,64.78229999999999
83,80.0,64.78229999999999
84,80.0,65.10459999999999
85,80.0,65.10459999999999
86,80.0,65.42689999999999
87,80.0,65.42689999999999
88,80.0,65.42689999999999
89,80.0,65.7492
90,80.0,65.7492
91,80.0,65.7492
92,80.0,66.0715
93,80.0,66.0715
94,80.0,66.0715
